x,y,z
0.06999999999999999,0.0,-0.04
0.06955985469252697,0.007837513327231548,-0.04
0.06824495385272765,0.015576465376942007,-0.04
0.06607183312158572,0.023119534336861695,-0.04
0.06306782075316933,0.030371861738229065,-0.04
0.059270693945979884,0.03724224535607355,-0.04
0.05472820377276208,0.04364428613011134,-0.04
0.049497474683058325,0.04949747468305832,-0.04
0.04364428613011135,0.05472820377276208,-0.04
0.03724224535607355,0.059270693945979884,-0.04
0.030371861738229068,0.06306782075316933,-0.04
0.02311953433686171,0.06607183312158571,-0.04
0.01557646537694201,0.06824495385272765,-0.04
0.007837513327231538,0.06955985469252697,-0.04
4.286263797015736e-18,0.06999999999999999,-0.04
-0.00783751332723153,0.06955985469252697,-0.04
-0.015576465376942001,0.06824495385272765,-0.04
-0.023119534336861702,0.06607183312158571,-0.04
-0.03037186173822906,0.06306782075316933,-0.04
-0.037242245356073546,0.05927069394597989,-0.04
-0.04364428613011134,0.05472820377276209,-0.04
-0.04949747468305832,0.049497474683058325,-0.04
-0.05472820377276206,0.04364428613011137,-0.04
-0.059270693945979884,0.03724224535607357,-0.04
-0.06306782075316933,0.03037186173822907,-0.04
-0.06607183312158572,0.023119534336861702,-0.04
-0.06824495385272765,0.015576465376941984,-0.04
-0.06955985469252697,0.007837513327231559,-0.04
-0.06999999999999999,8.572527594031472e-18,-0.04
-0.06955985469252697,-0.00783751332723154,-0.04
-0.06824495385272765,-0.015576465376941967,-0.04
-0.06607183312158572,-0.02311953433686168,-0.04
-0.06306782075316933,-0.030371861738229058,-0.04
-0.05927069394597989,-0.037242245356073546,-0.04
-0.054728203772762066,-0.043644286130111364,-0.04
-0.04949747468305833,-0.04949747468305832,-0.04
-0.04364428613011136,-0.05472820377276207,-0.04
-0.03724224535607357,-0.059270693945979884,-0.04
-0.03037186173822908,-0.06306782075316933,-0.04
-0.023119534336861706,-0.06607183312158571,-0.04
-0.015576465376942019,-0.06824495385272765,-0.04
-0.007837513327231562,-0.06955985469252697,-0.04
-1.2858791391047206e-17,-0.06999999999999999,-0.04
0.007837513327231536,-0.06955985469252697,-0.04
0.015576465376941932,-0.06824495385272766,-0.04
0.023119534336861678,-0.06607183312158572,-0.04
0.030371861738229054,-0.06306782075316934,-0.04
0.03724224535607354,-0.05927069394597989,-0.04
0.04364428613011133,-0.05472820377276209,-0.04
0.04949747468305831,-0.04949747468305833,-0.04
0.05472820377276207,-0.04364428613011136,-0.04
0.05927069394597988,-0.037242245356073574,-0.04
0.06306782075316934,-0.030371861738229023,-0.04
0.06607183312158571,-0.02311953433686171,-0.04
0.06824495385272764,-0.015576465376942024,-0.04
0.06955985469252697,-0.007837513327231566,-0.04
0.06999999999999999,0.0,-0.03
0.06955985469252697,0.007837513327231548,-0.03
0.06824495385272765,0.015576465376942007,-0.03
0.06607183312158572,0.023119534336861695,-0.03
0.06306782075316933,0.030371861738229065,-0.03
0.059270693945979884,0.03724224535607355,-0.03
0.05472820377276208,0.04364428613011134,-0.03
0.049497474683058325,0.04949747468305832,-0.03
0.04364428613011135,0.05472820377276208,-0.03
0.03724224535607355,0.059270693945979884,-0.03
0.030371861738229068,0.06306782075316933,-0.03
0.02311953433686171,0.06607183312158571,-0.03
0.01557646537694201,0.06824495385272765,-0.03
0.007837513327231538,0.06955985469252697,-0.03
4.286263797015736e-18,0.06999999999999999,-0.03
-0.00783751332723153,0.06955985469252697,-0.03
-0.015576465376942001,0.06824495385272765,-0.03
-0.023119534336861702,0.06607183312158571,-0.03
-0.03037186173822906,0.06306782075316933,-0.03
-0.037242245356073546,0.05927069394597989,-0.03
-0.04364428613011134,0.05472820377276209,-0.03
-0.04949747468305832,0.049497474683058325,-0.03
-0.05472820377276206,0.04364428613011137,-0.03
-0.059270693945979884,0.03724224535607357,-0.03
-0.06306782075316933,0.03037186173822907,-0.03
-0.06607183312158572,0.023119534336861702,-0.03
-0.06824495385272765,0.015576465376941984,-0.03
-0.06955985469252697,0.007837513327231559,-0.03
-0.06999999999999999,8.572527594031472e-18,-0.03
-0.06955985469252697,-0.00783751332723154,-0.03
-0.06824495385272765,-0.015576465376941967,-0.03
-0.06607183312158572,-0.02311953433686168,-0.03
-0.06306782075316933,-0.030371861738229058,-0.03
-0.05927069394597989,-0.037242245356073546,-0.03
-0.054728203772762066,-0.043644286130111364,-0.03
-0.04949747468305833,-0.04949747468305832,-0.03
-0.04364428613011136,-0.05472820377276207,-0.03
-0.03724224535607357,-0.059270693945979884,-0.03
-0.03037186173822908,-0.06306782075316933,-0.03
-0.023119534336861706,-0.06607183312158571,-0.03
-0.015576465376942019,-0.06824495385272765,-0.03
-0.007837513327231562,-0.06955985469252697,-0.03
